Sr.no,ID,Filename,url,Original Full Audio Duration,after_split_duration(pyannote),Department,Uploaded,Audio Quality,Audio Place,AGE
1,STT_GR_0001,01-Lama.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/01-Lama.wav,00:04:18,00:03:22,STT_GR,group a,good,indoor,70-80
2,STT_GR_0002,02-Three-Kayas-Jewels-Roots.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/02-Three-Kayas-Jewels-Roots.wav,00:22:59,00:17:53,STT_GR,group a,good,indoor,70-80
3,STT_GR_0003,03-Faith-Confidence-Devotion.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/03-Faith-Confidence-Devotion.wav,00:27:27,00:22:37,STT_GR,group a,good,indoor,70-80
4,STT_GR_0004,04-Lama-Chopa-Benefits-Importance.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/04-Lama-Chopa-Benefits-Importance.wav,00:15:23,00:10:52,STT_GR,group a,good,indoor,70-80
5,STT_GR_0005,05-Refuge-and-Motivation.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/05-Refuge-and-Motivation.wav,00:09:56,00:07:34,STT_GR,group a,good,indoor,70-80
6,STT_GR_0006,06-Blessing-Offerings.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/06-Blessing-Offerings.wav,00:07:13,00:05:20,STT_GR,group a,good,indoor,70-80
7,STT_GR_0007,07-Creation-Stage.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/07-Creation-Stage.wav,00:10:14,00:08:15,STT_GR,group a,good,indoor,70-80
8,STT_GR_0008,08-Field-of-Accumulation.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/08-Field-of-Accumulation.wav,00:12:35,00:10:33,STT_GR,group a,good,indoor,70-80
9,STT_GR_0009,09-Prostration.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/09-Prostration.wav,00:06:44,00:04:08,STT_GR,group a,good,indoor,70-80
10,STT_GR_0010,10-Offerings.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/10-Offerings.wav,00:29:09,00:22:00,STT_GR,group a,good,indoor,70-80
11,STT_GR_0011,11-QA-1.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/11-QA-1.wav,00:20:18,00:15:42,STT_GR,group a,good,indoor,70-80
12,STT_GR_0012,12-Mandala.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/12-Mandala.wav,00:25:00,00:18:46,STT_GR,group a,good,indoor,70-80
13,STT_GR_0013,13-Seven-Limb-Intro.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/13-Seven-Limb-Intro.wav,00:05:48,00:04:25,STT_GR,group a,good,indoor,70-80
14,STT_GR_0014,14-Seven-Limb-Prostration.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/14-Seven-Limb-Prostration.wav,00:20:30,00:16:12,STT_GR,group a,good,indoor,70-80
15,STT_GR_0015,15-Seven-Limb-Offerings.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/15-Seven-Limb-Offerings.wav,00:11:31,00:08:12,STT_GR,group a,good,indoor,70-80
16,STT_GR_0016,16-Seven-Limb-Confession.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/16-Seven-Limb-Confession.wav,00:16:49,00:13:20,STT_GR,group a,good,indoor,70-80
17,STT_GR_0017,17-Seven-Limb-Rejoicing.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/17-Seven-Limb-Rejoicing.wav,00:10:40,00:08:46,STT_GR,group a,good,indoor,70-80
18,STT_GR_0018,18-Seven-Limb-Request-to-Turn-the-Wheel-1.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/18-Seven-Limb-Request-to-Turn-the-Wheel-1.wav,00:02:18,00:01:34,STT_GR,group a,good,indoor,70-80
19,STT_GR_0019,19-QA-2.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/19-QA-2.wav,00:26:53,00:20:11,STT_GR,group a,good,indoor,70-80
20,STT_GR_0020,20-Seven-Limb-Request-to-Turn-the-Wheel-2.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/20-Seven-Limb-Request-to-Turn-the-Wheel-2.wav,00:07:52,00:06:12,STT_GR,group a,good,indoor,70-80
21,STT_GR_0021,21-Seven-Limb-Request-Not-to-Pass.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/21-Seven-Limb-Request-Not-to-Pass.wav,00:19:45,00:15:09,STT_GR,group a,good,indoor,70-80
22,STT_GR_0022,22-Seven-Limb-Dedication.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/22-Seven-Limb-Dedication.wav,00:37:09,00:28:20,STT_GR,group a,good,indoor,70-80
23,STT_GR_0023,23-Offering-Homage-Praise.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/23-Offering-Homage-Praise.wav,00:21:06,00:15:18,STT_GR,group a,good,indoor,70-80
24,STT_GR_0024,24-QA-3.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/24-QA-3.wav,00:25:20,00:17:46,STT_GR,group a,good,indoor,70-80
25,STT_GR_0025,25-Request-to-Dispel-Darkness.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/25-Request-to-Dispel-Darkness.wav,00:08:57,00:05:58,STT_GR,group a,good,indoor,70-80
26,STT_GR_0026,26-Concluding-Prayers.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/26-Concluding-Prayers.wav,00:14:18,00:11:31,STT_GR,group a,good,indoor,70-80
27,STT_GR_0027,27-QA-4.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/27-QA-4.wav,00:11:42,00:08:18,STT_GR,group a,good,indoor,70-80
28,STT_GR_0028,28-Concluding-Prayers.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/28-Concluding-Prayers.wav,00:16:24,00:12:49,STT_GR,group a,good,indoor,70-80
29,STT_GR_0029,29-Four-Empowerments.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/29-Four-Empowerments.wav,00:17:32,00:13:47,STT_GR,group a,good,indoor,70-80
30,STT_GR_0030,30-Dedication.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/30-Dedication.wav,00:06:28,00:04:23,STT_GR,group a,good,indoor,70-80
31,STT_GR_0031,31-Samadhi-Emp-Commentary.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/31-Samadhi-Emp-Commentary.wav,00:10:25,00:07:04,STT_GR,group a,good,indoor,70-80
32,STT_GR_0032,32-Samadhi-Emp-Transmission.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/32-Samadhi-Emp-Transmission.wav,00:04:01,00:01:55,STT_GR,group a,good,indoor,70-80
33,STT_GR_0033,hegr-archive-request.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/guru-yoga-2009/hegr-archive-request.wav,00:04:12,00:01:20,STT_GR,group a,good,indoor,70-80
34,STT_GR_0034,37_practices_2017_1.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/37-bodhisattva-practices-2017/37_practices_2017_1.wav,01:51:49,00:28:33,STT_GR,group a,good,indoor,80-90
35,STT_GR_0035,37_practices_2017_2.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/37-bodhisattva-practices-2017/37_practices_2017_2.wav,01:44:23,01:07:17,STT_GR,group a,good,indoor,80-90
36,STT_GR_0036,37_practices_2017_3.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/37-bodhisattva-practices-2017/37_practices_2017_3.wav,00:41:45,00:29:13,STT_GR,group a,good,indoor,80-90
37,STT_GR_0037,37_practices_2017_4.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/37-bodhisattva-practices-2017/37_practices_2017_4.wav,01:27:57,01:00:41,STT_GR,group a,good,indoor,80-90
38,STT_GR_0038,37_practices_2017_5.wav,https://s3.ap-south-1.amazonaws.com/monlam.ai.stt/Garchen+Rinpoche+STT/37-bodhisattva-practices-2017/37_practices_2017_5.wav,01:10:13,00:45:39,STT_GR,group a,good,indoor,80-90